,comment,rating
1801,"Великолепный херес, аромат, вкус всё настоящее, новый год буду встречать с ним!",5
1802,"Сравнивали с такой же бутылкой привезенной из Крыма - такое ощущение, что взяли и развели водой тот старый всем знакомый Массандровский херес. Нет того плотного тела, концентрации вкуса и запаха, маслянистости, да и градуса..просто неуважение завода к потребителю",3
1803,гольный спирт. Акуса хереса т его особенности нет и в помине.,1
1804,"редкой пробы дрянь, спирт бьет в нос, на вкус и аромат - разбавленный коньяк. из плюсов - только янтарный цвет.",1
1805,"Вино шикарное, правда описание не соответствует, на наш с мужем взгляд. Во вкусе и аромате чëтко видны дыня и инжир, а также курага, лимонный пирог. Цвет скорее янтарный. Не смотря на градус, вино пьëтся мягко. Считаем, что дороговато, Крым ведь наш, но попробовать точно стоит.",5
1806,"отличный Херес, по хорошей цене.",5
1807,Отличный вариант для пятничного вечера. Рекомендую в закуску маслины и твёрдый сыр.,4.5
1808,Данный продукт использую для приготовления французского лукового супа. Превосходно. Советую также от производителя Массандра Красное полусладкое.,5
1809,ну какой он сухой. если там 25г./литр. в сухих винах сахара до 5г./литр,5
1810,В этом напитке все солнце Крыма. Шедевр!,5
1811,"Те кому не понравился этот напиток, возможно, нарвались на свое плохое настроение. Постоянно покупаю наш херес и заметил разницу во вкусе и аромате напитка в зависимости от даты розлива - это тоже играет роль в восприятии. Советую пробовать, пробовать и пробовать. Мне полюбился с первой же бутылки. Для меня вкус и аромат схож с коньяком, имеет солоноватое послевкусие - это обязательный признак качественного хереса, и российского, и испанского. Сравнивал с испанским хересом, разным - наш на высоте!",5
1812,"Напиток хороший, ценник конский.",4
1813,"Зомечательный, напиток. Один из млих любимых",5
1814,"Вино понравилось,нужно дать 30мин подышать вину.охладить и будет норма)))",5
1815,"Так уж случилось, что вчера второй раз в жизни дегустировал Массандровский херес. Первый – в 1969 году, когда путешествовал тогда еще по нашему, советскому Крыму. Вкус его я не помню – молод был да и других впечатлений хватало. Но, надеюсь, он стал еще лучше. Про вчера – отменное вино. Всё есть – и коньячный аромат и сочное послевкусие. Не к чему придраться. Ну, разве что есть немного жгучего спиртового привкуса. Возможно крепили спиртом не самого лучшего качества или не коньячным. Не могу утверждать. Но если это еще убрать, будет достойнейший напиток. Кланяюсь вам, крымские виноделы – пусть трепещут ушедшие гишпанцы – у нас есть равноценная замена.",5
1816,"впервые попробовал Херес от Масандры,на мой вкус спиртовой вкус сильный аж жжёт горло,удовольствия не получил от напитка.Не советую покупать",1
1817,"это не портвейн, а подкрашенная водка. не рекомендую. если портвейн, то только Португалия",1
1818,"Извините, я конечно не гурман, но он(ХЕРЕС) точно не сухой, а креплённый",4
1819,"Херес просто чудо! Нежный вкус с приятными ореховыми нотами и лёгкой кислинкой в послевкусии.. Был готов получить нечто посредственное, а получил праздник вкуса! Спиртуозность вообще не напрягает, не ощущается практически.",5
1820,"Постоянно искал взглядом Массандровский херес в магазинах, не было его, как минимум, лет пять. Вот увидел, сразу купил, выпил… раньше был лучше… Тут не то что-бы спирт в нос бьет, с этим все нормально. Но, как бы сказать, послевкусие, что-ли, очень бедное, водянистое. Не насыщенный вкус. Впрочем, после второго бокала перестаешь замечать все его недостатки и начинаешь испытывать гордость за отечественное виноделие )))",3
1821,"купил для выдержки в новой бочке под а-ля ""виски"" собственного производства. Не ожиданно, но понравился этот Херес, хотя других не пробовал. В первом и втором ""носе""",4
1822,"Когда открываешь - арамат, да ореха и винограда достойный...но на вид вода подкрашеная соком, а на вкус хрень не сусветная...с отдаленым привкусом подвального разлива и с тонким оттеняющим привкусом недожатого горного скунса глубокой 10 лет.выдержки жизни с магерой особой.",1
1823,Очень достойное вино.,5
1824,Дрянь невероятная. Водянистый привкус. Похоже спирт мешали с водой и виноградный соком.,1
1825,не зашёл. вкус жжёного сахара. спиртягой воняет.,2
1826,Первый раз в жизни попробовала что такое Херес. Мне зашло. Это как будто вино со вкусом коньяка. Рекомендую.,5
1827,"Вина креплёпленые НЕ виноградным спиртом, это путь к тяжёлым алкоотравлениям. Зерно к зерно, виноград к винограду, фрукт к фрукту. Это азы высокого виноделия.",1.5
1828,хороший приятный вкус,5
1829,"Я не люблю сухие хересы, поэтому этот для меня идеален: в меру сухой, в меру сладкий, пьется легко, отлично поднимает настроение",5
1830,Херес Массандра прекрасен. Для 4-х лет выдержки эта цена просто даром.,5
1831,"Попробовал в первый раз недавно по рекомендации друга, распробовал, вкус очень понравился и теперь этот херес всегда стоит в моем домашнем баре",5
1832,"Чувствуется сильная ореховая нотка во вкусе, замечательный напиток!",5
1833,"Угостили недавно друзей-иностранцев, полный восторг, очень самобытная вещь. По-английски херес - это шерри, так что это наш вариант напитка, который все время пили аристократы в английских детективах:) и даже Шерлок)",5
1834,спирт подкрашенный ..и́спорченный вечер,1
1835,"Красивый янтарный цвет,аромат раскрывается постепенно,на вкус довольно приятный,немножко крепковат,но это же Херес, так и должно быть.",5
1836,не понравилось,2
1837,Большой вопрос каким спиртом крепили этот напиток. Это точно не херес.Не рекомендую.,2
1838,"Осмелюсь доложить Дамы и Господа, сей напиток очень недурственнен. Лучшее, что я пробовал за последний год, всë-таки старые традиции, ещё из нашей комсомольской молодости, многое значат! Удалось почувствовать тот самый вкус и аромат! Просто вернулся на 40 лет назад! Ставлю отлично!",5
1839,"согласен с теми, кто пишет, что теперь это спирт с отдушкой. Хересом и не пахнет... хотя и пробка и этикетка вроде как настоящие. разочарован..",1
1840,"Отличный херес. Плотный, насыщенный! Сладкий, но не приторный. По вкусу напоминает Испанский херес, но цена гораздо приятнее :) Очень рада, что в России могут производить херес такого высокого качества.",5
1841,"Массандра Херес класс. Его даже дружить с воздухом не надо, он и так обалденный. Аромат и послевкусие для меня просто бомба. С куском Пармезана самое то. А вот Херес Ореанда мне не зашел. Более пустой, более простой...",5
1842,"Реально этот херес прекрасен, тем более за такую стоимость. Когда хочется чего-то покрепче обычного вина, но не такое крепкое как коньяк или виски - самое оно. Я люблю добавлять пару кубиков льда. Аромат очень приятный. Первый раз купила херес Массандры по рейтингу Винного гида, оценки на него высокие.",5
1843,"это не ликерное вино, это спирт со вкусом вина. ребята, это провал.",1
1844,"Друзья, это херес! таким он и должен быть! Для тех кто понимает что покупает. Это не портвейн, не мадера или десертная вино - это херес!",5
1845,"Хороший напиток по цене со скидкой 540 рублей. Не сладкий .Сахара всего 25гр.Полусухой. Послевкусие просто улёт. Больше подходит для мужчин. При открытии нужно часик бутылке дать подышать без пробки. После налития в бокал, так же дать подышать минут 10-15. Охлаждать до 10°-12°",5
1846,"Это не Херес, это спиртяга, вином не назвать, пить невозможно, 600 рублей улетели в раковину.",1
1847,"3аходит только после продолжительной аэрации, а так спирт-дестилят конаретно с ног сбивает.",5
1848,"Самое не вкусное что я пила,жалко потраченые",5
1849,"Спирт, выдержанный в эмалированном ведре.",1
1850,"Херес зачетный, нотки резковатые. Похож на настоящий, но до молдавского, который я пробовал в начале 90-х на нашем винзаводе....такого нет больше",4
1851,"прочитала отзывы, и вот что могу скать. Мы с мужем выбрали этот херес нашим романтическим напитком еще 10 лет назад в Крыму. потом несколько раз пытались купить его в Москве. ребята, ну, здесь в Москве это в бутылках не херес, а реально набодяженный раствор. Буквально позавчера явернулась из Крыма и привезла одну бутылочку из Ялты. что могу сказать, напиток божественный!!!! сладкий, но не плиторный, раскрывается многовкусие постепенно. В общем, очень шикарный напиток, но купленный именно в Крыму, а не в Москве. Здесь не знаю что разливают в бутылки под этим фантиком.",5
1852,"Вполне достойный Херес, хотя я предпочитаю сухой.",5
1853,"Но это не сухое вино, это - сладкое, крепленое. Исправьте описание. Сухой херес у Массандры - Ореанда. Буду рада, если вы завезете в Красное и Белое Херес Ореанда.",5
1854,"Отличный херес! Аромат фруктов (мне ярче других чувствуется чернослив). Во вкусе ореховые ноты, солоноватость. Я люблю ее усилить, заев каперсом на веточке. Не охлаждайте сильно, максимум до 12, иначе не раскроется аромат. Но слегка охладить стоит, чтобы быстро не осоловеть))",5
1855,"Не плох, для расширения кругозора, но лучше доплатить и купить torres 5",4
1856,"это херес, возможно он такой и должен быть, но пить его тяжело...",4
1857,отличное вино,5
1858,"Довольно неплохой Херес. Не Испания, но вполне достойно. Пишущим всякую ерунду про данное вино-научитесь его правильно употреблять.",5
1859,Вино отличное!!!,4.5
1860,"Приятный аромат сухофруктов на послевкусие, херес не сладкий, пьётся очень легко! Советую",5
1861,Как могли назвать этот продукт сладким вином с выдержкой 4 года .СПИРТ КИСЛОЕ ДАЖЕ ПИТЬ НЕВОЗМОЖНО .,1
1862,"отличный херес, его крепят хересной водкой, а не спиртом)",4
1863,Противное ! Спирт с водой,2
1864,"Купил портвейн белый и херес, всё от массандры. Разница, земля и небо. Портвейн полностью отвечает своим характеристикам, вкус, цвет, ароматика... С хереса чуть не вырвало сразу. Полный отстой, это смесь чего-то со спиртом.",1
1865,"Не рекомендую, противное на вкус",2
1866,"Отличный херес. По сравнению с импортными более жесткий. Это потому что наши крепленые вина крепят не винным дистилятом, а зерновым.",5
1867,"Из всей линейки Массандры пробовал белые и красные портвейны, а также Мадеру. Этот херес самый отвратительный. Аромат вполне приятный, а вкус - как будто смешали водку с коньяком и разбавили водой.",2
1868,хорошое вино,5
1869,"Жаль не попробовал его в Крыму. Брал два раза с разницей по времени в неделю. Урожая 2014 года. Первый раз пошла ""на ура"". Этакий слабенький Торрес. Второй раз по хуже - или качество от бутылки к бутылке, или не под настроение. Наверное второе. В целом очень даже норм. Рекомендую, как один из вариантов, попробовать закусывать консервированными мандаринами.",5
1870,Массандровский херес.,5
1871,Вино на любителя крепких. Мне зашло!,5
1872,"девчонкам такое наливайте парни, их с одного бокала унесет",5
1873,"Очень выраженный привкус спирта, как в запахе, так и во вкусе.",1
1874,"Крепленое спиртом, а не винным дистиллятом. Отстой",1
1875,"Самое нормальное из массандровских портвейнов и крепкое, с самым малым количеством сахара! Шерлок Холмс пил даже.",5
1876,На троечку,2
1877,рекомендую,5
1878,Херес он и есть Херес. Ничего особенного. Обычный Херес. Ничуть не хуже заморских. Различие только в сортах винограда. Здесь все на любителя. Кто разбирается - тот оценит. В целом достоиный представитель семейства Хересов. Рекомендую.,5
1879,"Добрый день! Всё массандровские вина отличные, рад что можно попробовать хорошие и качественные вина по доступным ценам. Надеюсь в КБ будет больше ассортимент крымских вин.",5
1880,"Барахло по сравнению с испанским аналогичным продуктом (цена вдвое дороже, но 1000р для хереса - это вообще норм). Не рекомендую массандру",2
1881,"Отличный Херес, цена по сравнению с импортом, вполне адекватная. Любимое вино, критики просто не разбираются в крепких винах. Да херес имеет не обычный вкус, но к столу это самое то.",5
1882,"Не хочу занижать рейтинг, тк не пробовал херес вообще никогда, но именно этот пить тяжело. Он очень невкусный, даже противный, на любителя.",5
1883,"Данный херес отвратительное пойло. Вкус плохого самогона и дрожжей. Вылил в раковину. Сто грамм выпил, пока пытался понять что за напиток недешевый. Самогон разбавили водой и поставили в бочки на 4 года. Гадость.",1
1884,Отличное вино. Без комментариев,5
1885,Херес как херес. Обычный. Ничего особенного !,5
1886,"Попробовал три года назад Массандровские вина так как были в отпуске в Крыму, с тех пор ничего другого не признаю, очень богатый и яркий вкус и послевкусие, насыщенность винограда и его винный аромат очень будоражит и подходит ко многим блюдам. Очень жалко что в магазинах КБ очень маленький ассортимент Массандровской продукции.",5
1887,"Массандровские вина отличные! Хорошие на вкус, ароматные. Ни чем не уступают десертным хересам европейским.",5
1888,"Великолепное крепленое вино для тех, кто вкушает его послевкусие медленно и не торопясь .",5
1889,"Приятное столовое вино, белое и красное в таких же бутылках тоже понравились, уже стали дорожать, но все равно цена очень привлекательная",5
1890,Хорошее розовое вино за свои деньги,5
1891,"Приятное розе, сбалансированный вкус.",5
1892,"не зашло,газация лишняя",5
1893,отдаёт спиртом. винный напиток .для тех кому надо быстро окасеть.,1
1894,"Вино не кислое, чувстауется ягодка, крепость тоже чувствуется 12,5 но приятное, отечественному производителю твердая 5 в данной ценовой категории.",5
1895,"Отличное вино, легкое. А за такую цену так просто вообще грех жаловаться.",5
1896,"Вкус приятный, ягодный. Но кислое, не всякий желудок выдержит.",4
1897,Понравлось. Любители вин брют оценят,5
1898,"За такую сумму очень достойно,производителю краснеть не за что.",5
1899,"Из того что есть, это пока самое приемлемое, газированное, вкус легкий, среднее как раз. Белое такое просто жуть кислятина, коасное надо будет взять на пробу, но я не любитель.",5
1900,"Понравилось, лёгкое, с кислинкой, есть пить охлажденным.",5
1901,"Мне понравилось вино,легонькое,не кислое",5
1902,"Мне понравилось вино,легонькое,не кислое",5
1903,"Мне понравилось вино,легонькое,не кислое",5
1904,отличное вино. рекомендую от души.,5
1905,Отличное вино! И голова после него свежая),5
1906,"Мне в этом вине очень нравится газация, оно приятно так покалывает язык. Как дополнение к сыру или блюдам с добавлением сыра – идеально для меня.",5
1907,"Самое плохое вино, какое мы купили(на пробу) в магазине. Вкус настолько отвратителен, что не допили и бокал.",1
1908,"замечательное вино, берем периодически, не сладит не вяжет.",5
1909,"Вино очень нравится, часто его беру",5
1910,очень даже не плохо...колюченькое такое ...люблю кислотность...куплю ещё. и не одну. с пенсии,5
1911,"Достойное вино. Пьется легко, нет спиртного вкуса. Приятное. За свою цену вообще находка. Цена -подарок.",5
1912,За такую цену очень достойное вино.,5
1913,"Розовые люблю.Это входит в список тех,что нравятся.Приятный вкус с фруктовыми нотами.Пить его легко,не плохеет,голова потом не болит(что важно!)",5
1914,"Пустое, не стоящее своих денег. Запах и вкус напомнил картон. Цвет красивый и оформление бутылки, на этом плюсы заканчиваются. Удовольствия не получила.",1.5
1915,"Достойное розовое вино от одного из лучших производителей. Лёгкое, летнее, свежее, ягодное. Главное охладить. Вообще, покупая продукцию шато тамань, всегда уверена в качестве и вкусе, ни разу не разочаровалась, в отличие от вин французских, чилийских и др.",4
1916,"Как по мне, розовые вина - это чисто женский вариант. Это вино пробовала у подруги на девичнике, очень понравилось! И цвет,и вкус, как сопровождение - отличный вариант. Ничем не хуже той же Италии или Франции.",5
1917,Вино охладила и стала открывать крышку.Была неприятно удивлена-крышка вместе с нижней частью легко и непринужденно осталась в руке… Бутылка была по-сути не закрыта! Наливай туда что хочешь!,4
1918,Ни о чем! Высокая кислотность и ни какого вкуса .,3
1919,"В описании возраст лоз 17 лет, на этикетке 19 лет)) Вино не самое плохое, пить охлажденным однозначно, на жаркий летний вечер очень даже",4
1920,"Я не любитель сухого вина, но это мне понравилось. Пробовала те, которые реально невозможно пить, но это очень даже ничего. Перед употреблением охладила в морозилке и прям зашло. На закуску были сыр с голубой плесенью и оливки.",5
1921,"Хорошее сухое, пить только охлаждённым. Цветочно фруктовые нотки, мне даже кажется полусухим, не Кисляк.",5
1922,Кисляк !,3
1923,"Достойное российское сухое вино.Понятное дело,что не всем нравятся сухие вина,но касательно этого вина-очень неплохой вариант за адекватную цену. Аромат приятный,вкус цветочно-фруктовый,и цвет красивый в бокале,пить его обязательно охлажденным,так вкус совсем иной,постоит в бокале-становится более кислое",5
1924,"Посмотрела видео обзор и купила.Ужасное,горечь плюс кислотое,запаха вина нет,сразу после полбокала начала болеть голова.Остальное пошло в унитаз.",2
1925,"Огонь, буду еще брать!",5
1926,"Кисловатое, не то что ожидала, нет запаха спирта, но больше не возьму.",3
1927,Шато Тамань топ за свою цену,5
1928,"Вино понравилось. За свою цену особенно отличное. Спиртуозности нет. Я люблю сухарики, мне кислым вообще не показалось, даже когда немного нагрелось. Мне померещилось чУдное цветочное послевкусие, но аромат у него бедненький.",5
1929,"Отличное вино. Для жаркого летнего вечера идеально снять напряжение. Кто пишет, что оно кислое, скорее всего не охлаждает его до нужной температуры (желательно 10...15 градусов), либо не готов к искушению сухими винами. Да, не итальянское негроамаро и не аргентинский мальбек по сладости, но хороший российский сухарь.",5
1930,"Шато Тамань вкуснейшие вина !!!! С ними не сравнится ни какая Италия, Испания ! Очень вкусное розовое как и все вина Шато Тамань,обязательно дать подышать.",5
1931,"Хорошее розовое за смешную цену, запах вообще бомба, с кислинкой, мне понравилось,легкое для приятного вечернего времяпрепровождения !",5
1932,Прекрасно!!!,5
1933,"Сразу скажу,что это вино лучше пить охлажденным, тогда оно просто шикарно пьётся. Приятная кислинка, присущая сухим винам, ягодность: клубника или земляника. Для меня одно из любимых вин, плюс радует ценник на него.",5
1934,"Пожалуй, самое беспонтовое сухое розовое из всех, что я пробовала. В том же Крыму на марочных заводах можно взять за ту же цену куда более достойные варианты. Этот отдает спиртом. Никакого приятного послевкусия не наблюдаю даже после двух бокалов",1
1935,Это Вино идеально подходит под мясо и рыбу!,5
1936,Крутое вино!,5
1937,"Вкусное вино, доступная цена.",5
1938,"очень люблю розовые вина. экспертом себя не считаю, но это самое лучшее из всех что пробовала",5
1939,"Вино бомбезное, взяла его впервые и не пожалела",5
1940,Моё любимое розовое вино,5
1941,"Хорошее вино, вкусное",5
1942,Интересный насыщенный фруктовый вкус. Мне очень по душе,5
1943,"Вино обладает своей специфичноц кислинкой, будет идеально пить его с фруктами, десертами, сладостями Мне очень понравилось",5
1944,Приятное послевкусие. Рекомендую.,5
1945,"Впервые встречаю вино из винограда Мерло в виде розе да и еще и с винтовой крышкой. Вино понравилось. Вкусовые качества сорта Мерло хорошо узнаваемые, но вино легче, мягче и интереснее по ощущениям. Вишня, нотки сливы легким флером по всему букету. Аромат интенсивный, кислотность за счет того, что Мерло – розе немного сглаженная и приятная. С десертами и фруктами самое-то, рекомендую.",5
1946,не понравилось,1
1947,"Легкое розовое вино, за такие смешные деньги.",4
1948,Хорошее легкое вино из натурального винограда российского производителя. Соответствует цена-качество.,5
1949,"Когда надо бюджетно и душевно посидеть с подружками - это лучший выбор! Немного охладить винишко, немного крекеров, паштета и сыра, вот секрет успешного дамского междусобойчика",5
1950,"Отличное вино! Сделано из винограда, а не из привозного видеоматериала. Шато Тамань - очень достойная марка российских вин.",5
1951,"Скептически отношусь к вину с железной крышкой, но оказалось, закрыто очень плотно, как вермуты Чинзано. Само вино тоже очень порадовало, запах типичный, как у всего мерло, вкус приятный, кисло-сладкий, спирт не ощущается в принципе, опьяняет быстрее чем красное мерло, но отпускает тоже быстро, сказывается отсутствие танинов. За 270₽ это шикарное розовое вино, да еще и наше.",5
1952,"1в1 с ""Коллекция винодела белое сухое"" за 180 рублей. Кислятина с неприятным вкусом.",1
1953,Все шикарно! Беру постоянно,5
1954,"Кисленькое, приятное. Не АХ! Но за такую цену вполне достойное. Нет запаха спирта и послевкусие легкого вина. Можно брать.",3
1955,"Вино просто великолепно, удивительно, что такое вино происходят в России, в наших достаточно северных широтах, уровень хорошего испанского итальянского вина.",5
1956,"За эту цену - лучшее вино, я считаю! Настоящее российское. Аромат приятный. Вкус ровный. Побеждает любых итальянцев и по цене и по вкусу!",4.5
1957,"Очень классное вино , выпиваю по 2-3 стакана и чувствую себя так , как будто выпила литр виски , берите однозначно!!!! Будете пьяными и веселыми , голова от него на утро не болит",5
1958,Легкое кисленькое вино под сыр и фрукты.,5
1959,Легкое ароматное вино. Отличное качество за такие деньги!,5
1960,"Розовое вино - больше дамское, не терпкое, легкое. Мне нравится это вино. Я часто беру его на праздники и женские посиделки.",5
1961,"Никакое! Есть терпкость, но во вкусе ничего. ""Вино"" за 150р интересней. Жалею, что взял. Может хранили неверно, т.к. бутылка разлива 21 года.",3
1962,Для шорле беру только его,4
1963,"Вино очень среднее, вкуса и наслаждения точно не будет.",3
1964,"Вино на вкус ни чего, но выпив всего один бокал, послевкусие спирта. А на утро голова болела как минимум от бутылки",1
1965,"Хорошее вино на летний вечер, под сырную нарезку",5
1966,"Отличное вино, в это жаркое лето полюбила розовые вина, это достойный вариант на любой день и вечерком расслабится и выходные скоротать) кислинка в меру, ягодно- фруктовый вкус!",5
1967,Отвратительное вино.,1
1968,"Странно, что пишу что не кислое, кислое еще как, аж скулы сводит, но в общем не гадость, пустовато, на троечку.",3
1969,"не кислое, помню еще брали его в Токио Сити года 2 назад за 600, со временем вкус не изменился, печалит раньше была пробка, сейчас просто закручивающая крыжечка) если беру его... то добавляю лед, в целом из линейки шато тамань, самый отличный вариант. Голова с него не разу не болела, ну конечно все в меру",4
1970,"Очень хорошее вино, я не сомелье и о вкусе судить не берусь, но все-же очень приятное, особенно в разбавлении с тоником -70% вина/ 30% тоника или биттер-лимон это ком как по вкусу- главное , чтоб все было охлаждённым",5
1971,хорошее легкое вино. нужно сильно охладить. голова немного тяжелая после него. будем экспериментировать дальше.,5
1972,отлично вино запивать еду))) даже удивлен за эти деньги ) буду брать еще,5
1973,"Отличное соотношение цена-качество. Лёгкое повседневное сухое розе для пикника и просто жаркого летнего дня. Во вкусе клубничное варенье-пятиминутка, брусничный морс. Кислотность высокая, но гармоничная. Пить хорошо охлажденным, с нагреванием грубеет.",4
1974,"Свежее, лёгкое вино. В аромате- клубника, арбуз, слегка сливочные нотки; во вкусе- клубника.",4
1975,"Отличное вино за такую цену под сыр, фрукты, рыбу.",5
1976,"Отличное вино за эти деньги , вкус , аромат - все достойно",5
1977,Бомбическое вино из недорогих розовых. На мой взгляд - лучше из данной линейки Шато Тамань. Под нарезку из сыра и вяленого мяса вообще отлично идёт. Рекомендую любителям сухих вин.,5
1978,"Хорошее вино, от которого нет похмелья",5
1979,"Понравилось вино, не кислое. Ожидала худшего. Достойное вино нашего производителя. Соотношение вкус-цена-качество очень оптимальное. Рекомендую.",5
1980,"Очень хорошее вино, легкое, совершенно не кислое. Лучше, чем ожидала. И бутылка очень красивая, похоже на импортное.",5
1981,"Хорошее вино за эти деньги, лёгкое и питкое. Аромат земляники присутствует, кислотность легкая, танинов практически нет. Понравилось всем, кому рекомендовала. И голова утром не болит)",5
1982,"Мое любимое винишко. Ценность его в том, что одно из немногой сухой вин, которые не кислят. И тут не дело в цене. Май лав вайн)))",5
1983,Не рекомендую,1
1984,"Ароматное и насыщенное вино, с приятным яголным послевкусием и освежающей легкой кислинкой.",5
1985,Хорошое лёгкое вино Стоит 5*,5
1986,"За свои деньги прекрасный вариант. Легкое и нет изжоги, голова не болит.",5
1987,"Это не вино, это винный уксус. Не рекомендую к покупке",1
1988,Так себе,1
1989,"Неожиданно более, чем достойный напиток. Вино легкое, не кислое, ни чуть не хуже импортного.",5
1990,"Отличное вино, не кислое, есть приятное послевкусие, цена=качеству",5
1991,Весьма неплохое.,4
1992,Судя по ьутылке где выпущеео и по вкусу приличное вино птется легко вкус легкий ! Не хуже импортого !,4
1993,"На удивление хорошее розовое. Лёгкое, приятное, за такую цену идеальный летний вариант без затей. Пить со льдом!",4.5
1994,"Год назад было очень приличное розе, изменилось не в лучшую сторону, понизили градусы, на этикетке уже не 13 а 11, теперь компот какой то забродивший, стало соответствовать цена - качество.",3
1995,Мне очень полюбилась вся эта линейка. Лёгкое летнее розе),5
1996,"Очень достойное розовое вино: насыщенный вкус, ярко выраженный аромат, очень приятный цвет! Хорошо охлажденное или со льдем - для лета просто находка!",5
1997,"Морс какой-то. Вода водой, в общем. Как любительница розовых вин не рекомендую",1
1998,Отличное вино! Отзыв Михаила полностью поддерживаю ❤️,5
1999,Я один чувствую в нем клубнику? Твёрдая 4+,5
2000,"Вот уже минимум полгода я покупаю это вино. От него не стоит ожидать роскошного букета, но за свою цену вино просто бомбическое. Его приятно пить в кампании, под сыры и с фруктами, обязательно сильно охладить. В отличии от белого савиньона этой же фирмы, от этого вина совершенно не болит голова, нет похмелья. К сожалению, рядом с моим домом в К&Б это вино завозят редко, поэтому беру когда он есть, в других случаях беру пино гриджо, но вино очень неплохо пить летом, на открытом воздухе. Ценник совершенно прекрасный и даже пугающе дешевый (не говорю друзьям сколько стоит, но всем нравится). Еще раз скажу, что другие вина этой марки пить совершенно невозможно, ни тихие, ни игристые.",5
