,comment,rating
155,"Прекрасное вино за свои деньги! Пьётся легко и нет неприятного послевкусия. Голова не болит, брали его на свадьбу.",5
156,Люблю сладкое вино. Муж купил это попробовала понравилось.,4
157,отличное вино за такую цену.берите не пожалеете,5
158,Отличное вино за смешные деньги.,5
159,отличное Вино за такие деньги!!!,5
160,Хорошее вино за небольшие деньги.,5
161,"Очень сладкое. Я разбавляю минералкой 1:1. Получается не приторно и с газиками)). Цена низкая, немного смущает.",4
162,"Отличное вино за эти деньги, пьётся легко, никаких неприятных привкусов нет. Утром с него голова не болит, рекомендую!",5
163,"Нормальное вино, стоит своих денег, насыщенный терпкий вкус, сладковато) рекомендую)",3
164,Вино ужастное пойло. Не рекомендую к покупке. было плохо,1
165,Хорошее вино!,5
166,"после вина было плохо 2 дня. не рекомендую. вкус был вяжущий, чуть подперченый.",1
167,хорршее вино,5
168,Конечно к Саперави имеет отношение такое же как Индонезия к Северному флоту.... но для глинтвейна- идеально :-),5
169,"Вкусное, легкое вино. За такую цену- очень неплохо",5
170,Очень неплохое вино сахар и кислота в норме. За такие деньги вообще зачетно. Под мясо и пасту отлично.,5
171,"для тех кто хочет сладкого компота,очень сладкого",3
172,"Очень вкусное вино!!! Не смотря на такую цену, очень достойное и не уступает грузинском! Я не разочаровалась, хотя сомневалась)",5
173,"Неплохое молодое винцо, на вкус простенькое, ничего особенного. Немного уступает Цице того же производителя.",4
174,"Вкусное вино по низкой цене. Приятно пьётся, не приторное.",4
175,"Попробовала на дне рождения, пить можно, но себе не куплю",3
176,за эти деньги хороший винный напиток изготовленный из виноматериалов,5
177,Очень вкусное вино! не уступает грузинскому!!! за такие деньги прелесть!!!!! Только я сухое люблю,4.5
178,"Легкое, приятное на вкус. Понравилось.",5
179,"Раньше иногда брали это вино, было приятное, сладкое с характерным изабельным ароматом и вкусом. В последний раз постигло разочарование, видимо от партии к партии вкус меняется, попалась бутылка водянистая будто разбавленная и с ужасным спиртовым привкусом и запахом дрожжей. Пить не смогли, пришлось вылить.",3
180,"Сладкий спирт с ароматизатором, на утро жестко болела голова",1
181,"да, не вино, но нашим девчонкам очень нравится - привкуса спирта нет)) думаю, что оно не вреднее для организма чем всё остальное))",5
182,"хорошее вино ,сладенькое,вкусное,рекомендую",5
183,Компотик...с запахом Изабеллы,4
184,"Не понимаю восторга покупателей. Начитался тут хвалебных отзывов, решил взять на пробу (очевидно, что за такую цену хорошего качества ждать не стоит). По вкусу виноградный ароматизатор со спиртом. Пить можно, но это не вино. Лучше возьмите Шато Тамань, там и состав лучше.",2
185,"очень вкусное вино, кислого послевкусия нет",5
186,"Хоть и не дорогое, но приятное вино, вкусное и хорошо пьётся)!",5
187,"ну не вино это, нет. компот с градусом. покупатель на него найдется согласна, но это отрава",3
188,"Очень нравится это вино,приятное послевкусие,не терпкое,почти нет вкуса спирта.Если сравнить с Шушук,то по мне лучше Цица.",5
189,Отличное вино. Нет спиртового послевкусия и запаха.,5
190,приятныно пьется,5
191,"беда купили на новый год на работу на стол пару бутылок,разлили по бокалам",5
192,"Мне очень нравится это вино, ни разу не попадалось с привкусом спирта как писали выше, хотя беру его довольно часто",5
193,"Впервые раз показалось не плохим, купив вторично голимый спирт оказался. Странный напиток",3
194,Прелесть какая,5
195,"Вкусно вино , не кислое , приятное послевкусие, голова после него не болит",5
196,"Сильный вкус и запах виноградного концентрата, кто пробовал чачу на черноморском побережье тот поймёт.",3
197,Хорошо! Гадо было 3 брать.,5
198,"Взяла сразу две бутылки, так как в гостях приятно удивило цена, вкус, производитель. Однако открыв дома вкус был горьковато- сильно спиртовый, ни чего общего от предыдущей бутылки. Дочь тоже купила себе бутылочку и ей повезло, вкус был тот же приятный и нежный. Как это понимать, дата розлива одна и та же? КБ: Нужно было хорошо охладить и дать подышать как минимум час-два.",2
199,"Хорошее вино, приятное послевкусие",5
200,"Не в первый раз уже беру Цицу. Очень нравится это полусладкое вино, у него приятный аромат, вкус вина мягкий, бархатистый, с приятным сладким послевкусием. Пьется легко, немного вяжет язык. Обладает приятным багровым цветом. Намного лучше дорогих вин. Своих денег однозначно стоит. Берите, не пожалеете.",5
201,"Приятно пить, вкусное. Вкуснее дорогих вин",5
202,"Прекрасное, очень вкусное вино, понравилось)",5
203,"лучшее что я пробовал, учитывая то что вино пил в десятки раз дороже",5
204,"очень хорошее вино,всем рекомендую",5
205,очень вкусное вино,5
206,"Мне нравится, частенько беру",5
207,"Очень хорошее вино,прекрасный аромат и вкус,лучшее из вин...",5
208,голова утром болит ужасно,1
209,"Винишко очень хорошее. Я не фанат вина конечно,тк на утро болею сильно. Но это взяла по совету сестры,и не пожалела. Вкусное, приятно пьется, я раньше Лыхны брала,Цыца что то с ни схожее. А главное на следующий день ни следа от выпитой бутылки. Рекомендую.",5
210,"изюмительное вино, по вкусу всё в меру, вкусное. на утро м правда головп не болит. это пожалуй самое нормальное вино в недорогом сегменте",5
211,"Очень понравилось данное вино, брали по рекомендации товарища. Хоть кто то посоветовал нормальное вино. Вкусное, на утро голова не болит.",5
212,Цена - Качество соответствуют,5
213,"Лучшее бутылочное вино, что я пробовал.",5
214,"очень хорошее вино, мне понравилось",5
215,"Пахнет противно, но пьется легко, запах виноградно-клубничный",5
216,"Легкое фруктовое вино, освежающее, не кислое. Может, не самый глубокий вкус. Очень напомнил лыхны, которое дороже более, чем в 2 раза. На закуску взяла нежнейший хачапури с сыром и это взрыв вкуса. Советую) цена копейки.",5
217,"Лучшее вино в своем ценовом диапазоне! Сладкое в меру, приятное, на утро после 2 бутылок не мутит, все хорошо. Брал несколько раз его, с разных партий.",5
218,"Брал раза три, сначала понравилось за эту цену... послевкусие, аромат... сам вкус! Но.... В очерной раз решил взять и очень сильно разочаровался. Дата розлива 24.08.2023 - вкус ужасен!!! Горечь сильная, пить невозможно.... Прошлые партии были норм, свежее пошли - отвратительные....",3
219,"Сладковатое, лёгкое, совсем нет терпкости, вода водой. Не люблю такое)",3
220,вино супер!)),5
221,"вкусно, не кисляк",5
222,очень понравилось за такую цену!,5
223,Цена-качество на высшем уровне! Рекомендую.,5
224,"мне вообще не понравилось это вино, я не могла его пить,",2
225,"очень вкусное вино, приятный вкус и самое главное нет запаха спирта..",5
226,"Очень вкусное вино. Не пахнет спиртом, легко пьется, очень и очень достойное. Подсадила всю семью на него и друзей!",5
227,"Ну просто сказка, вино реально классное!!",5
228,Винчик офигенный!,5
229,"Очень годное вино!! Клубнично-земляничное послевкусие , на утро не следа от выпитой бутылочки",5
230,"на удивление вкусное, не ожилала от такой цены! рекомендую!",5
231,"очень вкусное винишко. голова на утро , не болит. однозначно рекомендую!!!",5
232,Из такого вина неплохой глинтвейн получается. Не надо сахар или мёд добавлять,4
233,"шикарное вино, советую",5
234,очень вкусное вино,5
